appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
242760,The Forest,548,3a6847f6ac5879e48531db52261771d5e22904ac,True,"[2, 5]",,,User4,9.1,0.2222222222222222,548.0,0.0,0.0,0.0,1736639709.0,0.0,The Forest,game,"['Action', 'Adventure', 'Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","Apr 30, 2018",Endnight Games Ltd,Endnight Games Ltd,The Forest,15.77,28.26,58.27
239030,"Papers, Please",636,102e22fc7e0689cb5a9d8cfdd5a6725d571d1a0f,True,"[1, 5]",True,,User4,10.6,0.6923076923076923,636.0,0.0,0.0,0.0,1735403361.0,0.0,"Papers, Please",game,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","8 Aug, 2013",Lucas Pope,3909,"Papers, Please",5.01,8.25,16.07
588730,Majotori,390,6a4a5e9f87d3a3148874bb545b467b9ffb774c8c,True,,,,User4,6.5,0.9375,390.0,0.0,0.0,0.0,1729848362.0,0.0,,,[''],[''],,,,,,,
466240,Deceit,216,9ab4436d104e73d560f6e0c439bcb150a9c5a174,True,"[2, 5]",,,User4,3.6,0.21428571428571427,216.0,0.0,0.0,0.0,1690990238.0,0.0,Deceit,game,"['Action', 'Indie', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']","3 Mar, 2017",World Makers,World Makers,Deceit,3.8,8.75,43.33
739630,Phasmophobia,1123,125673b382059f666ec81477173380a76e1df0be,True,,,,User4,18.7,0.46296296296296297,1123.0,0.0,0.0,0.0,1749678490.0,0.0,Phasmophobia,game,"['Action', 'Indie', 'Early Access']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Camera Comfort', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","18 Sep, 2020",Kinetic Games,Kinetic Games,Phasmophobia,19.91,39.66,130.65
817510,Golfing Over It with Alva Majo,221,e62acf4e2e5768b608b3427d9c82268273baa349,True,,,,User4,3.7,0.4166666666666667,221.0,0.0,0.0,0.0,1733422025.0,0.0,,,[''],[''],,,,,,,
304390,For Honor,214,24ec1359d4c27b2aef9ad3fc59fdfa495789d6e6,True,"[2, 5]",,,User4,3.6,0.0,214.0,0.0,0.0,0.0,1708544082.0,0.0,FOR HONOR™,game,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","14 Mar, 2024","Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte",Ubisoft,FOR HONOR™,,,
654310,For Honor - Public Test,10,64dd8eca34f0b5faeda135f057da1973806852f2,,,,,User4,0.2,0.0,10.0,0.0,0.0,0.0,1708192563.0,0.0,,,[''],[''],,,,,,,
835570,Conqueror's Blade,0,146c4d41ab8c557a2a9ff1818d438e74de55942a,True,"[2, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
905370,Game Migrated to Another Steam Page,1,83f7613e4b024912cd0e49633fdb41d76c804237,True,,,,User4,0.0,0.0,1.0,0.0,0.0,0.0,1602881678.0,0.0,,,[''],[''],,,,,,,
